,short,full
1542,CX536014.1,CX536014.1 chadw Chinese Spring wheat immature...
1543,D12832.1,D12832.1 Triticum aestivum Ty1-copia type retrotransposon...
1544,D30736.1,D30736.1 Aegilops squarrosa repetitive DNA sequence...
1545,D82987.1,D82987.1 Triticum monococcum DNA tandem repetitive...
1546,D82988.1,D82988.1 Triticum monococcum DNA tandem repetitive...
1547,D82989.1,D82989.1 Triticum monococcum DNA tandem repetitive...
1548,D82990.1,D82990.1 Triticum monococcum DNA tandem repetitive...
1549,D82991.1,D82991.1 Triticum monococcum DNA tandem repetitive...
1550,D82992.1,D82992.1 Triticum monococcum DNA tandem repetitive...
1551,D82993.1,D82993.1 Triticum urartu DNA tandem repetitive...
1552,D82994.1,D82994.1 Triticum urartu DNA tandem repetitive...
1553,D82995.1,D82995.1 Triticum urartu DNA tandem repetitive...
1554,D82996.1,D82996.1 Triticum urartu DNA tandem repetitive...
1555,D82997.1,D82997.1 Hordeum vulgare DNA tandem repetitive...
1556,D86933.1,D86933.1 Triticum aestivum DNA for 18S...
1557,D90602.1,D90602.1 Triticum urartu DNA copia-like retrotransposon...
1558,D90603.1,D90603.1 Triticum urartu DNA copia-like retrotransposon...
1559,D90604.1,D90604.1 Triticum urartu DNA copia-like retrotransposon...
1560,D90605.1,D90605.1 Triticum urartu DNA copia-like retrotransposon...
1561,D90606.1,D90606.1 Triticum urartu DNA copia-like retrotransposon...
1562,D90607.1,D90607.1 Triticum urartu DNA copia-like retrotransposon...
1563,D90608.1,D90608.1 Triticum urartu DNA copia-like retrotransposon...
1564,D90609.1,D90609.1 Triticum urartu DNA copia-like retrotransposon...
1565,D90610.1,D90610.1 Triticum urartu DNA copia-like retrotransposon...
1566,D90611.1,D90611.1 Triticum urartu DNA copia-like retrotransposon...
1567,D90612.1,D90612.1 Triticum urartu DNA copia-like retrotransposon...
1568,D90613.1,D90613.1 Triticum urartu DNA copia-like retrotransposon...
1569,D90614.1,D90614.1 Triticum urartu DNA copia-like retrotransposon...
1570,D90615.1,D90615.1 Triticum urartu DNA copia-like retrotransposon...
1571,D90616.1,D90616.1 Triticum urartu DNA copia-like retrotransposon...
1572,D90617.1,D90617.1 Triticum urartu DNA copia-like retrotransposon...
1573,D90618.1,D90618.1 Triticum aestivum DNA copia-like retrotransposon...
1574,D90619.1,D90619.1 Triticum aestivum DNA copia-like retrotransposon...
1575,D90620.1,D90620.1 Triticum aestivum DNA copia-like retrotransposon...
1576,D90621.1,D90621.1 Triticum aestivum DNA copia-like retrotransposon...
1577,D90622.1,D90622.1 Triticum aestivum DNA copia-like retrotransposon...
1578,D90623.1,D90623.1 Triticum aestivum DNA copia-like retrotransposon...
1579,D90624.1,D90624.1 Triticum aestivum DNA copia-like retrotransposon...
1580,D90625.1,D90625.1 Triticum aestivum DNA copia-like retrotransposon...
1581,D90626.1,D90626.1 Triticum aestivum DNA copia-like retrotransposon...
1582,D90627.1,D90627.1 Triticum aestivum DNA copia-like retrotransposon...
1583,D90628.1,D90628.1 Triticum aestivum DNA copia-like retrotransposon...
1584,D90629.1,D90629.1 Triticum aestivum DNA copia-like retrotransposon...
1585,D90630.1,D90630.1 Triticum aestivum DNA copia-like retrotransposon...
1586,D90631.1,D90631.1 Triticum aestivum DNA copia-like retrotransposon...
1587,D90632.1,D90632.1 Triticum aestivum DNA copia-like retrotransposon...
1588,D90633.1,D90633.1 Triticum aestivum DNA copia-like retrotransposon...
1589,D90634.1,D90634.1 Triticum aestivum DNA copia-like retrotransposon...
1590,D90635.1,D90635.1 Triticum aestivum DNA copia-like retrotransposon...
1591,D90636.1,D90636.1 Triticum aestivum DNA copia-like retrotransposon...
1592,D90637.1,D90637.1 Triticum aestivum DNA copia-like retrotransposon...
1593,D90638.1,D90638.1 Triticum aestivum DNA copia-like retrotransposon...
1594,D90639.1,D90639.1 Triticum aestivum DNA copia-like retrotransposon...
1595,D90640.1,D90640.1 Triticum aestivum DNA copia-like retrotransposon...
1596,D90641.1,D90641.1 Triticum aestivum DNA copia-like retrotransposon...
1597,D90642.1,D90642.1 Triticum aestivum DNA copia-like retrotransposon...
1598,D90643.1,D90643.1 Triticum aestivum DNA copia-like retrotransposon...
1599,D90644.1,D90644.1 Triticum aestivum DNA copia-like retrotransposon...
1600,D90645.1,D90645.1 Triticum aestivum DNA copia-like retrotransposon...
1601,D90646.1,D90646.1 Triticum aestivum DNA copia-like retrotransposon...
1602,D90647.1,D90647.1 Triticum aestivum DNA copia-like retrotransposon...
1603,D90648.1,D90648.1 Triticum aestivum DNA copia-like retrotransposon...
1604,D90649.1,D90649.1 Triticum aestivum DNA copia-like retrotransposon...
1605,D90650.1,D90650.1 Triticum aestivum DNA copia-like retrotransposon...
1606,D90651.1,D90651.1 Triticum aestivum DNA copia-like retrotransposon...
1607,D90652.1,D90652.1 Triticum aestivum DNA copia-like retrotransposon...
1608,D90653.1,D90653.1 Triticum urartu DNA copia-like retrotransposon...
1609,D90654.1,D90654.1 Triticum aestivum DNA copia-like retrotransposon...
1610,D90655.1,D90655.1 Triticum aestivum DNA copia-like retrotransposon...
1611,D90656.1,D90656.1 Triticum aestivum DNA copia-like retrotransposon...
1612,D90657.1,D90657.1 Triticum aestivum DNA copia-like retrotransposon...
1613,D90658.1,D90658.1 Triticum aestivum DNA copia-like retrotransposon...
1614,D90659.1,D90659.1 Triticum aestivum DNA copia-like retrotransposon...
1615,D90660.1,D90660.1 Triticum aestivum DNA copia-like retrotransposon...
1616,D90661.1,D90661.1 Triticum aestivum DNA copia-like retrotransposon...
1617,D90662.1,D90662.1 Triticum aestivum DNA copia-like retrotransposon...
1618,D90663.1,D90663.1 Triticum aestivum DNA copia-like retrotransposon...
1619,D90664.1,D90664.1 Triticum aestivum DNA copia-like retrotransposon...
1620,D90665.1,D90665.1 Triticum aestivum DNA copia-like retrotransposon...
1621,D90666.1,D90666.1 Triticum aestivum DNA copia-like retrotransposon...
1622,D90667.1,D90667.1 Triticum aestivum DNA copia-like retrotransposon...
1623,D90668.1,D90668.1 Triticum aestivum DNA copia-like retrotransposon...
1624,D90669.1,D90669.1 Triticum aestivum DNA copia-like retrotransposon...
1625,D90670.1,D90670.1 Triticum aestivum DNA copia-like retrotransposon...
1626,D90671.1,D90671.1 Triticum aestivum DNA copia-like retrotransposon...
1627,D90672.1,D90672.1 Aegilops tauschii DNA copia-like retrotransposon...
1628,D90673.1,D90673.1 Aegilops tauschii DNA copia-like retrotransposon...
1629,D90674.1,D90674.1 Aegilops tauschii DNA copia-like retrotransposon...
1630,D90675.1,D90675.1 Aegilops tauschii DNA copia-like retrotransposon...
1631,D90676.1,D90676.1 Aegilops tauschii DNA copia-like retrotransposon...
1632,D90677.1,D90677.1 Aegilops tauschii DNA copia-like retrotransposon...
1633,D90678.1,D90678.1 Aegilops tauschii DNA copia-like retrotransposon...
1634,D90679.1,D90679.1 Aegilops tauschii DNA copia-like retrotransposon...
1635,D90680.1,D90680.1 Aegilops tauschii DNA copia-like retrotransposon...
1636,D90681.1,D90681.1 Aegilops tauschii DNA copia-like retrotransposon...
1637,D90682.1,D90682.1 Aegilops tauschii DNA copia-like retrotransposon...
1638,D90683.1,D90683.1 Aegilops tauschii DNA copia-like retrotransposon...
1639,D90684.1,D90684.1 Aegilops tauschii DNA copia-like retrotransposon...
1640,D90685.1,D90685.1 Aegilops speltoides DNA copia-like retrotransposon...
1641,D90686.1,D90686.1 Aegilops speltoides DNA copia-like retrotransposon...
1642,D90687.1,D90687.1 Aegilops speltoides DNA copia-like retrotransposon...
1643,D90688.1,D90688.1 Aegilops speltoides DNA copia-like retrotransposon...
1644,D90689.1,D90689.1 Aegilops speltoides DNA copia-like retrotransposon...
1645,D90690.1,D90690.1 Aegilops speltoides DNA copia-like retrotransposon...
1646,D90691.1,D90691.1 Aegilops speltoides DNA copia-like retrotransposon...
1647,D90692.1,D90692.1 Aegilops speltoides DNA copia-like retrotransposon...
1648,D90693.1,D90693.1 Aegilops speltoides DNA copia-like retrotransposon...
1649,D90694.1,D90694.1 Aegilops speltoides DNA copia-like retrotransposon...
1650,D90695.1,D90695.1 Aegilops speltoides DNA copia-like retrotransposon...
1651,D90696.1,D90696.1 Aegilops speltoides DNA copia-like retrotransposon...
1652,D90697.1,D90697.1 Aegilops speltoides DNA copia-like retrotransposon...
1653,D90698.1,D90698.1 Aegilops speltoides DNA copia-like retrotransposon...
1654,DQ075364.1,DQ075364.1 Aegilops comosa isolate acoc1 ScF13...
1655,DQ075365.1,DQ075365.1 Aegilops comosa isolate acoc3 ScF13...
1656,DQ075366.1,DQ075366.1 Aegilops comosa isolate acoc2 ScF13...
1657,DQ075367.1,DQ075367.1 Aegilops comosa isolate acoc4 ScF13...
1658,DQ075368.1,DQ075368.1 Aegilops crassa isolate Acr3 ScF13...
1659,DQ075369.1,DQ075369.1 Aegilops crassa isolate Acr4 ScF13...
1660,DQ075370.1,DQ075370.1 Aegilops crassa isolate Acr1 ScF13...
1661,DQ075371.1,DQ075371.1 Aegilops crassa isolate Acr2 ScF13...
1662,DQ075372.1,DQ075372.1 Aegilops cylindrica isolate Acy1 ScF13...
1663,DQ075373.1,DQ075373.1 Aegilops cylindrica isolate Acy3 ScF13...
1664,DQ075374.1,DQ075374.1 Aegilops cylindrica isolate Acy2 ScF13...
1665,DQ075375.1,DQ075375.1 Aegilops neglecta isolate Ane3 ScF13...
1666,DQ075376.1,DQ075376.1 Aegilops neglecta isolate Ane4 ScF13...
1667,DQ075377.1,DQ075377.1 Aegilops neglecta isolate Ane1 ScF13...
1668,DQ075378.1,DQ075378.1 Aegilops neglecta isolate Ane2 ScF13...
1669,DQ075379.1,DQ075379.1 Aegilops geniculata isolate Age1 ScF13...
1670,DQ075380.1,DQ075380.1 Aegilops geniculata isolate Age2 ScF13...
1671,DQ075381.1,DQ075381.1 Aegilops geniculata isolate Age3 ScF13...
1672,DQ075382.1,DQ075382.1 Aegilops sharonensis isolate Ash1 ScF13...
1673,DQ075383.1,DQ075383.1 Aegilops sharonensis isolate Ash2 ScF13...
1674,DQ075384.1,DQ075384.1 Aegilops sharonensis isolate Ash3 ScF13...
1675,DQ075385.1,DQ075385.1 Aegilops sharonensis isolate Ash4 ScF13...
1676,DQ075386.1,DQ075386.1 Aegilops speltoides isolate Asp4 ScF13...
1677,DQ075387.1,DQ075387.1 Aegilops speltoides isolate Asp1 ScF13...
1678,DQ075388.1,DQ075388.1 Aegilops speltoides isolate Asp2 ScF13...
1679,DQ075389.1,DQ075389.1 Aegilops speltoides isolate Asp3 ScF13...
1680,DQ075390.1,DQ075390.1 Aegilops tauschii isolate Ata1 ScF13...
1681,DQ075391.1,DQ075391.1 Aegilops tauschii isolate Ata2 ScF13...
1682,DQ075392.1,DQ075392.1 Aegilops triuncialis isolate Atr1 ScF13...
1683,DQ075393.1,DQ075393.1 Aegilops triuncialis isolate Atr2 ScF13...
1684,DQ075394.1,DQ075394.1 Aegilops umbellulata isolate Aum1 ScF13...
1685,DQ075395.1,DQ075395.1 Aegilops umbellulata isolate Aum2 ScF13...
1686,DQ075402.1,DQ075402.1 Aegilops peregrina isolate Ape1 ScF13...
1687,DQ075403.1,DQ075403.1 Aegilops peregrina isolate Ape2 ScF13...
1688,DQ075404.1,DQ075404.1 Aegilops peregrina isolate Ape3 ScF13...
1689,DQ075405.1,DQ075405.1 Aegilops peregrina isolate Ape4 ScF13...
1690,DQ075418.1,DQ075418.1 Elymus agropyroides isolate Ela2 ScF13...
1691,DQ075419.1,DQ075419.1 Elymus agropyroides isolate Ela1 ScF13...
1692,DQ075420.1,DQ075420.1 Elymus agropyroides isolate Ela3 ScF13...
1693,DQ075421.1,DQ075421.1 Elymus agropyroides isolate Ela4 ScF13...
1694,DQ075422.1,DQ075422.1 Elymus caninus isolate Elc3 ScF13...
1695,DQ075423.1,DQ075423.1 Elymus caninus isolate Elc2 ScF13...
1696,DQ075424.1,DQ075424.1 Elymus caninus isolate Elc4 ScF13...
1697,DQ075425.1,DQ075425.1 Elymus caninus isolate Elc1 ScF13...
1698,DQ075426.1,DQ075426.1 Lophopyrum elongatum isolate Ele1 ScF13...
1699,DQ075427.1,DQ075427.1 Lophopyrum elongatum isolate Ele3 ScF13...
1700,DQ075428.1,DQ075428.1 Lophopyrum elongatum isolate Ele2 ScF13...
1701,DQ075429.1,DQ075429.1 Lophopyrum elongatum isolate Ele4 ScF13...
1702,DQ075430.1,DQ075430.1 Elymus repens isolate Elr2 ScF13...
1703,DQ075431.1,DQ075431.1 Elymus repens isolate Elr4 ScF13...
1704,DQ075432.1,DQ075432.1 Elymus repens isolate Elr3 ScF13...
1705,DQ075433.1,DQ075433.1 Elymus repens isolate Elr1 ScF13...
1706,DQ075438.1,DQ075438.1 Hordeum jubatum isolate Hoj2 ScF13...
1707,DQ075439.1,DQ075439.1 Hordeum jubatum isolate Hoj3 ScF13...
1708,DQ075440.1,DQ075440.1 Hordeum jubatum isolate Hoj1 ScF13...
1709,DQ075441.1,DQ075441.1 Haynaldia villosa isolate Dav1 ScF13...
1710,DQ075442.1,DQ075442.1 Haynaldia villosa isolate Dav2 ScF13...
1711,DQ075443.1,DQ075443.1 Haynaldia villosa isolate Dav3 ScF13...
1712,DQ075446.1,DQ075446.1 Secale cereale isolate Sec ScF13...
1713,DQ075447.1,DQ075447.1 Secale strictum isolate Sec1 ScF13...
1714,DQ075448.1,DQ075448.1 Secale strictum isolate Sec2 ScF13...
1715,DQ075449.1,DQ075449.1 Secale strictum isolate Sec3 ScF13...
1716,DQ075450.1,DQ075450.1 Secale strictum isolate Sec4 ScF13...
1717,DQ075451.1,DQ075451.1 Secale vavilovii isolate Sev1 ScF13...
1718,DQ075452.1,DQ075452.1 Secale vavilovii isolate Sev2 ScF13...
1719,DQ075453.1,DQ075453.1 Triticum aestivum isolate Tae1 ScF13...
1720,DQ075454.1,DQ075454.1 Triticum aestivum isolate Tae2 ScF13...
1721,DQ075455.1,DQ075455.1 Triticum aestivum isolate Tae3 ScF13...
1722,DQ075456.1,DQ075456.1 Triticum aestivum isolate Tae4 ScF13...
1723,DQ075457.1,DQ075457.1 Triticum monococcum isolate Tmo1 ScF13...
1724,DQ075458.1,DQ075458.1 Triticum monococcum isolate Tmo3 ScF13...
1725,DQ075459.1,DQ075459.1 Triticum monococcum isolate Tmo2 ScF13...
1726,DQ075460.1,DQ075460.1 Triticum turgidum isolate Ttu1 ScF13...
1727,DQ075461.1,DQ075461.1 Triticum turgidum isolate Ttu2 ScF13...
1728,DQ075462.1,DQ075462.1 Triticum turgidum isolate Ttu3 ScF13...
1729,DQ118010.1,DQ118010.1 Triticum aestivum clone dg83 transposon...
1730,DQ118011.1,DQ118011.1 Triticum aestivum clone dg85 transposon...
1731,DQ128033.1,DQ128033.1 Triticum aestivum clone A2-6 Ty3/gypsy-like...
1732,DQ128034.1,DQ128034.1 Triticum aestivum clone A3-3 Ty3/gypsy-like...
1733,DQ128035.1,DQ128035.1 Triticum aestivum clone A3-4 Ty3/gypsy-like...
1734,DQ128036.1,DQ128036.1 Triticum aestivum clone A3-5 Ty3/gypsy-like...
1735,DQ128037.1,DQ128037.1 Triticum aestivum clone A3-6 Ty3/gypsy-like...
1736,DQ128038.1,DQ128038.1 Triticum aestivum clone A4-1 Ty3/gypsy-like...
1737,DQ128039.1,DQ128039.1 Triticum aestivum clone A4-3 Ty3/gypsy-like...
1738,DQ128040.1,DQ128040.1 Triticum aestivum clone A4-4 Ty3/gypsy-like...
1739,DQ128041.1,DQ128041.1 Triticum aestivum clone A4-5 Ty3/gypsy-like...
1740,DQ128042.1,DQ128042.1 Triticum aestivum clone A6-6 Ty3/gypsy-like...
1741,DQ128043.1,DQ128043.1 Triticum aestivum clone A8-1 Ty3/gypsy-like...
1742,DQ128044.1,DQ128044.1 Triticum aestivum clone A8-5 Ty3/gypsy-like...
1743,DQ128045.1,DQ128045.1 Triticum aestivum clone P4-4 Ty3/gypsy-like...
1744,DQ128046.1,DQ128046.1 Triticum aestivum clone P4-6 Ty3/gypsy-like...
1745,DQ128047.1,DQ128047.1 Triticum aestivum clone P8-1 Ty3/gypsy-like...
1746,DQ138083.1,DQ138083.1 Triticum aestivum clone wmc(2c7) microsatellite...
1747,DQ138084.1,DQ138084.1 Triticum aestivum clone wmc(2c10) microsatellite...
1748,DQ138085.1,DQ138085.1 Triticum aestivum clone wmc(2d12) microsatellite...
1749,DQ138086.1,DQ138086.1 Triticum aestivum clone wmc(2h12) microsatellite...
1750,DQ138087.2,DQ138087.2 Triticum aestivum clone wmc(6g2) microsatellite...
1751,DQ138088.1,DQ138088.1 Triticum aestivum clone wmc(6e3) microsatellite...
1752,DQ138089.1,DQ138089.1 Triticum aestivum clone wmc(6a4) microsatellite...
1753,DQ138090.1,DQ138090.1 Triticum aestivum clone wmc(6d5) microsatellite...
1754,DQ138091.1,DQ138091.1 Triticum aestivum clone wmc(6f5) microsatellite...
1755,DQ138092.1,DQ138092.1 Triticum aestivum clone wmc(6a6) microsatellite...
1756,DQ138093.1,DQ138093.1 Triticum aestivum clone wmc(6e6) microsatellite...
1757,DQ138094.1,DQ138094.1 Triticum aestivum clone wmc(2d10) microsatellite...
1758,DQ138095.1,DQ138095.1 Triticum aestivum clone wmc(22g7) microsatellite...
1759,DQ138096.1,DQ138096.1 Triticum aestivum clone wmc(10f7) microsatellite...
1760,DQ138097.1,DQ138097.1 Triticum aestivum clone wmc(12g12) microsatellite...
1761,DQ138098.1,DQ138098.1 Triticum aestivum clone wmc(13f3) microsatellite...
1762,DQ138099.1,DQ138099.1 Triticum aestivum clone wmc(3e6) microsatellite...
1763,DQ138100.1,DQ138100.1 Triticum aestivum clone wmc(3d2) microsatellite...
1764,DQ138101.1,DQ138101.1 Triticum aestivum clone wmc(22h6) microsatellite...
1765,DQ138102.1,DQ138102.1 Triticum aestivum clone wmc(10a5) microsatellite...
1766,DQ138103.1,DQ138103.1 Triticum aestivum clone wmc(26b10) microsatellite...
1767,DQ138104.1,DQ138104.1 Triticum aestivum clone wmc(26h9) microsatellite...
1768,DQ138105.1,DQ138105.1 Triticum aestivum clone wmc(20g10) microsatellite...
1769,DQ138106.1,DQ138106.1 Triticum aestivum clone wmc(10A1) microsatellite...
1770,DQ138107.1,DQ138107.1 Triticum aestivum clone wmc(22g1) microsatellite...
1771,DQ138108.1,DQ138108.1 Triticum aestivum clone wmc(2h6) microsatellite...
1772,DQ138109.1,DQ138109.1 Triticum aestivum clone wmc(2f1) microsatellite...
1773,DQ138110.1,DQ138110.1 Triticum aestivum clone wmc(25c12) microsatellite...
1774,DQ141199.1,DQ141199.1 Secale cereale ScF13c retrotransposon partial...
1775,DQ167393.1,DQ167393.1 Triticum aestivum AFLP-derived marker P-ACC/M-GAG-384...
1776,DQ167394.1,DQ167394.1 Triticum aestivum AFLP-derived marker P-ACG/M-GCG-339...
1777,DQ167395.1,DQ167395.1 Triticum aestivum AFLP-derived marker P-ACG/M-GCG-411...
1778,DQ167396.1,DQ167396.1 Triticum aestivum AFLP-derived marker P-ACA/M-GCG-553...
1779,DQ167397.1,DQ167397.1 Triticum aestivum AFLP-derived marker P-ATG/M-GTC-456...
1780,DQ167398.1,DQ167398.1 Dasypyrum breviaristatum RAPD marker OPH12...
1781,DQ196185.1,DQ196185.1 Triticum monococcum cultivar DV92 truncated...
1782,DQ234070.1,DQ234070.1 Secale cereale clone 1 RAPD...
1783,DQ234071.1,DQ234071.1 Secale cereale clone 2 RAPD...
1784,DQ234072.1,DQ234072.1 Haynaldia villosa chromosome-specific RAPD marker...
1785,DQ286567.1,DQ286567.1 Triticum aestivum leucine-rich repeat protein...
1786,DQ286568.1,DQ286568.1 Triticum aestivum leucine-rich repeat protein...
1787,DQ286861.1,DQ286861.1 Triticum aestivum RAPD marker Xgmib1-1A.1...
1788,DQ286862.1,DQ286862.1 Triticum turgidum RAPD marker Xgmib1-1A.2...
1789,DQ286863.1,DQ286863.1 Triticum turgidum RAPD marker Xgmib1-1A.3...
1790,DQ286864.1,DQ286864.1 Triticum turgidum RAPD marker Xgmib1-1A.4...
1791,DQ286865.1,DQ286865.1 Triticum aestivum RAPD marker Xgmib1-1A.5...
1792,DQ304631.1,DQ304631.1 Aegilops longissima clone Sp1R/TrsBR subtelomeric...
1793,DQ445232.1,DQ445232.1 Hordeum vulgare subsp. vulgare retrotransposon...
1794,DQ445233.1,DQ445233.1 Hordeum vulgare subsp. vulgare retrotransposon...
1795,DQ445234.1,DQ445234.1 Hordeum vulgare subsp. vulgare retrotransposon...
1796,DQ445235.1,DQ445235.1 Hordeum vulgare subsp. vulgare AP2...
1797,DQ445236.1,DQ445236.1 Hordeum vulgare subsp. vulgare transposons...
1798,DQ445238.1,DQ445238.1 Hordeum vulgare subsp. vulgare retrotransposon...
1799,DQ445239.1,DQ445239.1 Hordeum vulgare subsp. vulgare transposon...
1800,DQ445240.1,DQ445240.1 Hordeum vulgare subsp. vulgare retrotransposon...
1801,DQ445241.1,DQ445241.1 Hordeum vulgare subsp. vulgare CBF10B...
1802,DQ445242.1,DQ445242.1 Hordeum vulgare subsp. vulgare retrotransposon...
1803,DQ445243.1,DQ445243.1 Hordeum vulgare subsp. vulgare retrotransposon...
1804,DQ445244.1,DQ445244.1 Hordeum vulgare subsp. vulgare putative...
1805,DQ445245.1,DQ445245.1 Hordeum vulgare subsp. vulgare transposons...
1806,DQ445246.1,DQ445246.1 Hordeum vulgare subsp. vulgare retrotransposon...
1807,DQ445247.1,DQ445247.1 Hordeum vulgare subsp. vulgare retrotransposon...
1808,DQ445248.1,DQ445248.1 Hordeum vulgare retrotransposon Wham_T14A-1 complete...
1809,DQ445249.1,DQ445249.1 Hordeum vulgare putative AP2 protein...
1810,DQ445250.1,DQ445250.1 Hordeum vulgare transposons Icarus_T13E-1 and...
1811,DQ445251.1,DQ445251.1 Hordeum vulgare CBF8 pseudogene and...
1812,DQ445252.1,DQ445252.1 Hordeum vulgare retrotransposon BARE_T14B-1 retrotransposon...
1813,DQ445253.1,DQ445253.1 Hordeum vulgare CBF9 (CBF9) gene...
1814,DQ480160.1,DQ480160.1 Hordeum vulgare subsp. vulgare cultivar...
1815,DQ481543.1,DQ481543.1 Thinopyrum bessarabicum strain PI531711 clone...
1816,DQ481544.1,DQ481544.1 Thinopyrum bessarabicum strain PI531711 clone...
1817,DQ481545.1,DQ481545.1 Agropyron cristatum strain PI536010 clone...
1818,DQ481546.1,DQ481546.1 Agropyron cristatum strain PI536010 clone...
1819,DQ481547.1,DQ481547.1 Agropyron desertorum strain 469225 clone...
1820,DQ481548.1,DQ481548.1 Lophopyrum elongatum strain PI531718 clone...
1821,DQ481549.1,DQ481549.1 Lophopyrum elongatum strain PI531718 clone...
1822,DQ481550.1,DQ481550.1 Lophopyrum elongatum strain PI276399 clone...
1823,DQ481551.1,DQ481551.1 Lophopyrum elongatum strain PI531718 clone...
1824,DQ481552.1,DQ481552.1 Lophopyrum elongatum strain PI531718 clone...
1825,DQ481553.1,DQ481553.1 Lophopyrum elongatum strain PI368851 clone...
1826,DQ481554.1,DQ481554.1 Lophopyrum elongatum strain PI368851 clone...
1827,DQ481555.1,DQ481555.1 Lophopyrum elongatum strain PI574516 clone...
1828,DQ481556.1,DQ481556.1 Lophopyrum elongatum strain PI109452 clone...
1829,DQ481557.1,DQ481557.1 Lophopyrum elongatum strain PI109452 clone...
1830,DQ481558.1,DQ481558.1 Lophopyrum elongatum strain PI109452 clone...
1831,DQ481559.1,DQ481559.1 Lophopyrum elongatum strain PI109452 clone...
1832,DQ481560.1,DQ481560.1 Lophopyrum elongatum strain PI535580 clone...
1833,DQ481561.1,DQ481561.1 Lophopyrum elongatum strain PI535580 clone...
1834,DQ481562.1,DQ481562.1 Lophopyrum elongatum strain PI535580 clone...
1835,DQ481563.1,DQ481563.1 Lophopyrum elongatum strain PI469212 clone...
1836,DQ481564.1,DQ481564.1 Lophopyrum elongatum strain PI578682 clone...
1837,DQ481565.1,DQ481565.1 Lophopyrum elongatum strain PI578682 clone...
1838,DQ481566.1,DQ481566.1 Lophopyrum elongatum strain PI578682 clone...
1839,DQ481567.1,DQ481567.1 Lophopyrum elongatum strain PI142012 clone...
1840,DQ481568.1,DQ481568.1 Lophopyrum elongatum strain PI142012 clone...
1841,DQ481569.1,DQ481569.1 Thinopyrum intermedium cultivar Oahe clone...
1842,DQ481570.1,DQ481570.1 Thinopyrum intermedium cultivar Oahe clone...
1843,DQ481571.1,DQ481571.1 Thinopyrum intermedium cultivar Oahe clone...
1844,DQ481572.1,DQ481572.1 Thinopyrum intermedium cultivar Oahe clone...
1845,DQ481573.1,DQ481573.1 Thinopyrum intermedium cultivar Oahe clone...
1846,DQ481574.1,DQ481574.1 Thinopyrum intermedium cultivar Oahe clone...
1847,DQ481577.1,DQ481577.1 Triticum aestivum cultivar P29 clone...
1848,DQ481578.1,DQ481578.1 Triticum aestivum cultivar P29 clone...
1849,DQ481579.1,DQ481579.1 Thinopyrum ponticum strain PI547312 clone...
1850,DQ481580.1,DQ481580.1 Thinopyrum ponticum strain PI547312 clone...
1851,DQ481581.1,DQ481581.1 Thinopyrum ponticum strain PI547313 clone...
1852,DQ481582.1,DQ481582.1 Thinopyrum ponticum strain PI547313 clone...
1853,DQ481583.1,DQ481583.1 Thinopyrum ponticum strain PI547313 clone...
1854,DQ481584.1,DQ481584.1 Thinopyrum ponticum strain PI508561 clone...
1855,DQ481585.1,DQ481585.1 Thinopyrum ponticum strain PI508561 clone...
1856,DQ481586.1,DQ481586.1 Thinopyrum ponticum strain PI531737 clone...
1857,DQ481587.1,DQ481587.1 Thinopyrum ponticum strain PI531737 clone...
1858,DQ481594.1,DQ481594.1 Triticum aestivum cultivar Abe clone...
1859,DQ481595.1,DQ481595.1 Triticum aestivum cultivar Abe clone...
1860,DQ481596.1,DQ481596.1 Triticum aestivum cultivar Compton clone...
1861,DQ481597.1,DQ481597.1 Triticum aestivum cultivar Clark clone...
1862,DQ481598.1,DQ481598.1 Triticum aestivum cultivar Patterson clone...
1863,DQ481599.1,DQ481599.1 Triticum aestivum cultivar PU8140 clone...
1864,DQ481600.1,DQ481600.1 Triticum aestivum cultivar PU8140 clone...
1865,DQ481601.1,DQ481601.1 Triticum aestivum cultivar PU8138 clone...
1866,DQ481602.1,DQ481602.1 Triticum aestivum cultivar PU8138 clone...
1867,DQ492704.1,DQ492704.1 Hordeum vulgare subsp. vulgare cultivar...
1868,DQ492705.1,DQ492705.1 Hordeum vulgare subsp. vulgare cultivar...
1869,DQ666286.1,DQ666286.1 Triticum monococcum subsp. aegilopoides transposon...
1870,DQ849627.1,DQ849627.1 Triticum aestivum clone BA_Sr31_res_a Sr31...
1871,DQ849628.1,DQ849628.1 Triticum aestivum clone BA_Sr31_sus_a Sr31...
1872,DQ849629.1,DQ849629.1 Triticum aestivum clone BA_Sr31_sus_b Sr31...
1873,DQ865364.1,DQ865364.1 Hordeum vulgare subsp. vulgare clone...
1874,DQ865365.1,DQ865365.1 Hordeum vulgare subsp. vulgare clone...
1875,DQ868363.1,DQ868363.1 Secale strictum subsp. africanum repeat...
1876,DQ869573.1,DQ869573.1 Triticum aestivum clone F2R874-1 RAPD...
1877,DQ869574.1,DQ869574.1 Triticum aestivum clone F2R874-2 RAPD...
1878,DQ869575.1,DQ869575.1 Triticum aestivum clone F2R874-3 RAPD...
1879,DQ869576.1,DQ869576.1 Triticum aestivum clone F2R874-6 RAPD...
1880,DQ869577.1,DQ869577.1 Triticum aestivum clone F2R874-7 RAPD...
1881,DQ869578.1,DQ869578.1 Triticum aestivum clone F2R874-8 RAPD...
1882,DQ869579.1,DQ869579.1 Triticum aestivum clone F2R874-11 RAPD...
1883,DQ869580.1,DQ869580.1 Triticum aestivum clone F2R874-12 RAPD...
