"Supercluster"	"Number of reads"	"Automatic_annotation"	"Similarity_hits"	"TAREAN_annotation"	"Clusters"
50	3762	"NA"	"                                                | nhits | proportion |     features
-----------------------------------------------------------------------------------
All                                             | 2     | 0.00053    |             
 '--repeat                                      | 2     | 0.00053    |             
     '--mobile_element                          | 2     | 0.00053    |             
         '--Class_I                             | 2     | 0.00053    |             
             '--LTR                             | 2     | 0.00053    |             
                 '--Ty3_gypsy                   | 2     | 0.00053    |             
                     '--non-chromovirus         | 2     | 0.00053    |             
                         '--Phygy               | 2     | 0.00053    | 2 (Ty3-RT), "	NA	"129"
51	3672	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 3672  | 1          |         
 '--repeat                                      | 3672  | 1          |         
     '--satellite                               | 3672  | 1          |         "	"130 - Putative satellites (high confidence)"	"130"
52	3176	"EnSpm_CACTA"	"                                                | nhits | proportion |            features
------------------------------------------------------------------------------------------
All                                             | 566   | 0.18       |                    
 '--repeat                                      | 566   | 0.18       |                    
     '--mobile_element                          | 566   | 0.18       |                    
         '--Class_II                            | 566   | 0.18       |                    
             '--Subclass_1                      | 566   | 0.18       |                    
                 '--TIR                         | 566   | 0.18       |                    
                     '--EnSpm_CACTA             | 566   | 0.18       | 566 (CACTA-TPase), "	NA	"134"
53	3039	"Retand"	"                                                | nhits | proportion |        features
--------------------------------------------------------------------------------------
All                                             | 273   | 0.09       |                
 '--repeat                                      | 273   | 0.09       |                
     '--mobile_element                          | 273   | 0.09       |                
         '--Class_I                             | 273   | 0.09       |                
             '--LTR                             | 273   | 0.09       | LTR/PBS        
                 |--Ty1_copia                   | 1     | 0.00033    |                
                 |   '--SIRE                    | 1     | 0.00033    | 1 (Ty1-RT),    
                 '--Ty3_gypsy                   | 272   | 0.089      |                
                     '--non-chromovirus         | 272   | 0.089      |                
                         '--OTA                 | 272   | 0.089      |                
                             |--Athila          | 17    | 0.0056     | 17 (Ty3-GAG),  
                             '--Tat             | 255   | 0.084      |                
                                 '--Retand      | 255   | 0.084      | 255 (Ty3-GAG), "	NA	"135"
54	2739	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 6     | 0.0022     |         
 '--organelle                                   | 6     | 0.0022     |         
     '--mitochondria                            | 6     | 0.0022     |         "	NA	"139"
55	2724	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 2724  | 1          |         
 '--repeat                                      | 2724  | 1          |         
     '--satellite                               | 2724  | 1          |         "	"140 - Putative satellites (high confidence)"	"140"
56	2687	"NA"	"                                                | nhits | proportion |     features
-----------------------------------------------------------------------------------
All                                             | 1     | 0.00037    |             
 '--repeat                                      | 1     | 0.00037    |             
     '--mobile_element                          | 1     | 0.00037    |             
         '--Class_I                             | 1     | 0.00037    |             
             '--LTR                             | 1     | 0.00037    |             
                 '--Ty3_gypsy                   | 1     | 0.00037    |             
                     '--non-chromovirus         | 1     | 0.00037    |             
                         '--OTA                 | 1     | 0.00037    |             
                             '--Athila          | 1     | 0.00037    | 1 (Ty3-RH), "	NA	"141"
57	2629	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 2627  | 1          |         
 '--organelle                                   | 2627  | 1          |         
     |--plastid                                 | 2623  | 1          |         
     '--mitochondria                            | 4     | 0.0015     |         "	NA	"142"
58	2402	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 2402  | 1          |         
 '--organelle                                   | 2402  | 1          |         
     |--plastid                                 | 2323  | 0.97       |         
     '--mitochondria                            | 79    | 0.033      |         "	NA	"144"
59	2316	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 2316  | 1          |         
 '--repeat                                      | 2316  | 1          |         
     '--satellite                               | 2316  | 1          |         "	"145 - Putative satellites (high confidence)"	"145"
60	2237	"LTR"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         
 '--repeat                                      | 0     | 0          |         
     '--mobile_element                          | 0     | 0          |         
         '--Class_I                             | 0     | 0          |         
             '--LTR                             | 0     | 0          | LTR/PBS "	NA	"146"
61	2019	"NA"	"                                                | nhits | proportion |                               features
-------------------------------------------------------------------------------------------------------------
All                                             | 29    | 0.014      |                                       
 '--repeat                                      | 29    | 0.014      |                                       
     '--mobile_element                          | 29    | 0.014      |                                       
         '--Class_I                             | 29    | 0.014      |                                       
             '--LTR                             | 29    | 0.014      |                                       
                 '--Ty1_copia                   | 29    | 0.014      |                                       
                     '--Angela                  | 29    | 0.014      | 20 (Ty1-INT), 5 (Ty1-RH), 4 (Ty1-RT), "	NA	"148"
62	1984	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"149"
63	1980	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"150"
64	1932	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"151"
65	1919	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"153"
66	1917	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1917  | 1          |         
 '--organelle                                   | 1917  | 1          |         
     '--plastid                                 | 1917  | 1          |         "	NA	"154"
67	1878	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"155"
68	1863	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"156"
69	1844	"Retand"	"                                                | nhits | proportion |        features
--------------------------------------------------------------------------------------
All                                             | 706   | 0.38       |                
 '--repeat                                      | 706   | 0.38       |                
     '--mobile_element                          | 706   | 0.38       |                
         '--Class_I                             | 706   | 0.38       |                
             '--LTR                             | 706   | 0.38       |                
                 |--Ty1_copia                   | 1     | 0.00054    |                
                 |   '--Ivana                   | 1     | 0.00054    | 1 (Ty1-INT),   
                 '--Ty3_gypsy                   | 705   | 0.38       |                
                     '--non-chromovirus         | 705   | 0.38       |                
                         '--OTA                 | 705   | 0.38       |                
                             '--Tat             | 705   | 0.38       |                
                                 '--Retand      | 705   | 0.38       | 705 (Ty3-INT), "	NA	"157"
70	1756	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 30    | 0.017      |         
 '--repeat                                      | 30    | 0.017      |         
     '--rDNA                                    | 30    | 0.017      |         
         '--5S_rDNA                             | 30    | 0.017      |         "	NA	"158"
71	1663	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1663  | 1          |         
 '--organelle                                   | 1663  | 1          |         
     |--plastid                                 | 1658  | 1          |         
     '--mitochondria                            | 5     | 0.003      |         "	NA	"159"
72	1594	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1594  | 1          |         
 '--repeat                                      | 1594  | 1          |         
     '--satellite                               | 1594  | 1          |         "	"160 - Putative satellites (high confidence)"	"160"
73	1587	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1586  | 1          |         
 '--organelle                                   | 1586  | 1          |         
     '--plastid                                 | 1586  | 1          |         "	NA	"161"
74	1554	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"162"
75	1506	"Tekay"	"                                                | nhits | proportion |                       features
-----------------------------------------------------------------------------------------------------
All                                             | 308   | 0.2        |                               
 '--repeat                                      | 308   | 0.2        |                               
     '--mobile_element                          | 308   | 0.2        |                               
         '--Class_I                             | 308   | 0.2        |                               
             '--LTR                             | 308   | 0.2        |                               
                 '--Ty3_gypsy                   | 308   | 0.2        |                               
                     '--chromovirus             | 308   | 0.2        |                               
                         |--Tekay               | 307   | 0.2        | 245 (Ty3-GAG), 62 (Ty3-PROT), 
                         '--Reina               | 1     | 0.00066    | 1 (Ty3-GAG),                  "	NA	"163"
76	1483	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1483  | 1          |         
 '--repeat                                      | 1483  | 1          |         
     '--satellite                               | 1483  | 1          |         "	"164 - Putative satellites (low confidence)"	"164"
77	1418	"LINE"	"                                                | nhits | proportion |        features
--------------------------------------------------------------------------------------
All                                             | 384   | 0.27       |                
 '--repeat                                      | 384   | 0.27       |                
     '--mobile_element                          | 384   | 0.27       |                
         '--Class_I                             | 384   | 0.27       |                
             '--LINE                            | 384   | 0.27       | 384 (LINE-RT), "	NA	"165"
78	1319	"NA"	"                                                | nhits | proportion |     features
-----------------------------------------------------------------------------------
All                                             | 1     | 0.00076    |             
 '--repeat                                      | 1     | 0.00076    |             
     '--mobile_element                          | 1     | 0.00076    |             
         '--Class_I                             | 1     | 0.00076    |             
             '--LTR                             | 1     | 0.00076    |             
                 '--Ty3_gypsy                   | 1     | 0.00076    |             
                     '--non-chromovirus         | 1     | 0.00076    |             
                         '--OTA                 | 1     | 0.00076    |             
                             '--Tat             | 1     | 0.00076    |             
                                 '--Retand      | 1     | 0.00076    | 1 (Ty3-RT), "	NA	"167"
79	1318	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"168"
80	1308	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1308  | 1          |         
 '--organelle                                   | 1308  | 1          |         
     |--plastid                                 | 1307  | 1          |         
     '--mitochondria                            | 1     | 0.00076    |         "	NA	"169"
81	1234	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"171"
82	1133	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1     | 0.00088    |         
 '--organelle                                   | 1     | 0.00088    |         
     '--plastid                                 | 1     | 0.00088    |         "	NA	"172"
83	1088	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1088  | 1          |         
 '--organelle                                   | 1088  | 1          |         
     |--plastid                                 | 1086  | 1          |         
     '--mitochondria                            | 2     | 0.0018     |         "	NA	"173"
84	1057	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1056  | 1          |         
 '--organelle                                   | 1056  | 1          |         
     |--plastid                                 | 1051  | 0.99       |         
     '--mitochondria                            | 5     | 0.0047     |         "	NA	"174"
85	1029	"SIRE"	"                                                | nhits | proportion |                        features
------------------------------------------------------------------------------------------------------
All                                             | 517   | 0.5        |                                
 '--repeat                                      | 517   | 0.5        |                                
     '--mobile_element                          | 517   | 0.5        |                                
         '--Class_I                             | 517   | 0.5        |                                
             '--LTR                             | 517   | 0.5        |                                
                 '--Ty1_copia                   | 517   | 0.5        |                                
                     |--Alesia                  | 2     | 0.0019     | 2 (Ty1-PROT),                  
                     |--Ivana                   | 13    | 0.013      | 1 (Ty1-INT), 12 (Ty1-PROT),    
                     '--SIRE                    | 502   | 0.49       | 372 (Ty1-INT), 130 (Ty1-PROT), "	NA	"175"
86	1016	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"176"
87	1004	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1004  | 1          |         
 '--repeat                                      | 1004  | 1          |         
     '--satellite                               | 1004  | 1          |         "	"177 - Putative satellites (high confidence)"	"177"
88	954	"NA"	"                                                | nhits | proportion |     features
-----------------------------------------------------------------------------------
All                                             | 3     | 0.0032     |             
 |--organelle                                   | 2     | 0.0021     |             
 |   '--plastid                                 | 2     | 0.0021     |             
 '--repeat                                      | 1     | 0.001      |             
     '--mobile_element                          | 1     | 0.001      |             
         '--Class_I                             | 1     | 0.001      |             
             '--LTR                             | 1     | 0.001      |             
                 '--Ty3_gypsy                   | 1     | 0.001      |             
                     '--chromovirus             | 1     | 0.001      |             
                         '--Tekay               | 1     | 0.001      | 1 (Ty3-RT), "	NA	"178"
89	941	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"179"
90	938	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"180"
91	909	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"181"
92	839	"NA"	"                                                | nhits | proportion |       features
-------------------------------------------------------------------------------------
All                                             | 31    | 0.037      |               
 '--repeat                                      | 31    | 0.037      |               
     '--mobile_element                          | 31    | 0.037      |               
         '--Class_I                             | 31    | 0.037      |               
             '--LTR                             | 31    | 0.037      |               
                 '--Ty1_copia                   | 31    | 0.037      |               
                     '--TAR                     | 31    | 0.037      | 31 (Ty1-INT), "	NA	"182"
93	831	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"183"
94	805	"EnSpm_CACTA"	"                                                | nhits | proportion |            features
------------------------------------------------------------------------------------------
All                                             | 211   | 0.26       |                    
 |--organelle                                   | 1     | 0.0012     |                    
 |   '--mitochondria                            | 1     | 0.0012     |                    
 '--repeat                                      | 210   | 0.26       |                    
     '--mobile_element                          | 210   | 0.26       |                    
         '--Class_II                            | 210   | 0.26       |                    
             '--Subclass_1                      | 210   | 0.26       |                    
                 '--TIR                         | 210   | 0.26       |                    
                     '--EnSpm_CACTA             | 210   | 0.26       | 210 (CACTA-TPase), "	NA	"184"
95	796	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"185"
96	783	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"186"
97	782	"NA"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 1     | 0.0013     |              
 '--repeat                                      | 1     | 0.0013     |              
     '--mobile_element                          | 1     | 0.0013     |              
         '--Class_I                             | 1     | 0.0013     |              
             '--LTR                             | 1     | 0.0013     |              
                 '--Ty3_gypsy                   | 1     | 0.0013     |              
                     '--non-chromovirus         | 1     | 0.0013     |              
                         '--OTA                 | 1     | 0.0013     |              
                             '--Athila          | 1     | 0.0013     | 1 (Ty3-GAG), "	NA	"187"
98	756	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"188"
99	752	"LINE"	"                                                | nhits | proportion |                        features
------------------------------------------------------------------------------------------------------
All                                             | 306   | 0.41       |                                
 '--repeat                                      | 306   | 0.41       |                                
     '--mobile_element                          | 306   | 0.41       |                                
         '--Class_I                             | 306   | 0.41       |                                
             '--LINE                            | 306   | 0.41       | 84 (LINE-ENDO), 222 (LINE-RT), "	NA	"189"
100	702	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 701   | 1          |         
 '--organelle                                   | 701   | 1          |         
     |--plastid                                 | 692   | 0.99       |         
     '--mitochondria                            | 9     | 0.013      |         "	NA	"190"
101	681	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"191"
102	676	"NA"	"                                                | nhits | proportion |          features
----------------------------------------------------------------------------------------
All                                             | 41    | 0.061      |                  
 '--repeat                                      | 41    | 0.061      |                  
     '--mobile_element                          | 41    | 0.061      |                  
         '--Class_II                            | 41    | 0.061      |                  
             '--Subclass_1                      | 41    | 0.061      |                  
                 '--TIR                         | 41    | 0.061      |                  
                     '--MuDR_Mutator            | 41    | 0.061      | 41 (MuDR-TPase), "	NA	"192"
103	673	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"193"
104	641	"NA"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 1     | 0.0016     |              
 '--repeat                                      | 1     | 0.0016     |              
     '--mobile_element                          | 1     | 0.0016     |              
         '--Class_I                             | 1     | 0.0016     |              
             '--LTR                             | 1     | 0.0016     |              
                 '--Ty3_gypsy                   | 1     | 0.0016     |              
                     '--chromovirus             | 1     | 0.0016     |              
                         '--Tekay               | 1     | 0.0016     | 1 (Ty3-CHD), "	NA	"194"
105	641	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"195"
106	613	"Retand"	"                                                | nhits | proportion |                      features
----------------------------------------------------------------------------------------------------
All                                             | 396   | 0.65       |                              
 '--repeat                                      | 396   | 0.65       |                              
     '--mobile_element                          | 396   | 0.65       |                              
         '--Class_I                             | 396   | 0.65       |                              
             '--LTR                             | 396   | 0.65       |                              
                 '--Ty3_gypsy                   | 396   | 0.65       |                              
                     '--non-chromovirus         | 396   | 0.65       |                              
                         '--OTA                 | 396   | 0.65       |                              
                             '--Tat             | 396   | 0.65       |                              
                                 |--TatII       | 3     | 0.0049     | 3 (Ty3-aRH),                 
                                 '--Retand      | 393   | 0.64       | 207 (Ty3-aRH), 186 (Ty3-RH), "	NA	"196"
107	574	"Ale"	"                                                | nhits | proportion |                     features
---------------------------------------------------------------------------------------------------
All                                             | 399   | 0.7        |                             
 '--repeat                                      | 399   | 0.7        |                             
     '--mobile_element                          | 399   | 0.7        |                             
         '--Class_I                             | 399   | 0.7        |                             
             '--LTR                             | 399   | 0.7        |                             
                 '--Ty1_copia                   | 399   | 0.7        |                             
                     |--Ale                     | 380   | 0.66       | 114 (Ty1-RH), 266 (Ty1-RT), 
                     |--Alesia                  | 2     | 0.0035     | 2 (Ty1-RT),                 
                     |--Ivana                   | 15    | 0.026      | 8 (Ty1-RH), 7 (Ty1-RT),     
                     '--SIRE                    | 2     | 0.0035     | 2 (Ty1-RT),                 "	NA	"260,208"
108	533	"5S_rDNA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 170   | 0.32       |         
 '--repeat                                      | 170   | 0.32       |         
     '--rDNA                                    | 170   | 0.32       |         
         '--5S_rDNA                             | 170   | 0.32       |         "	NA	"197"
109	526	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"198"
110	517	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 517   | 1          |         
 '--repeat                                      | 517   | 1          |         
     '--satellite                               | 517   | 1          |         "	"199 - Putative satellites (high confidence)"	"199"
111	504	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"200"
112	503	"Ale"	"                                                | nhits | proportion |                       features
-----------------------------------------------------------------------------------------------------
All                                             | 242   | 0.48       |                               
 '--repeat                                      | 242   | 0.48       |                               
     '--mobile_element                          | 242   | 0.48       |                               
         '--Class_I                             | 242   | 0.48       |                               
             '--LTR                             | 242   | 0.48       |                               
                 '--Ty1_copia                   | 242   | 0.48       |                               
                     '--Ale                     | 242   | 0.48       | 229 (Ty1-INT), 13 (Ty1-PROT), "	NA	"201"
113	485	"NA"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 1     | 0.0021     |              
 '--repeat                                      | 1     | 0.0021     |              
     '--mobile_element                          | 1     | 0.0021     |              
         '--Class_I                             | 1     | 0.0021     |              
             '--LTR                             | 1     | 0.0021     |              
                 '--Ty1_copia                   | 1     | 0.0021     |              
                     '--Angela                  | 1     | 0.0021     | 1 (Ty1-INT), "	NA	"202"
114	473	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 473   | 1          |         
 '--organelle                                   | 473   | 1          |         
     |--plastid                                 | 472   | 1          |         
     '--mitochondria                            | 1     | 0.0021     |         "	NA	"203"
115	466	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"204"
116	456	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"205"
117	445	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 445   | 1          |         
 '--repeat                                      | 445   | 1          |         
     '--satellite                               | 445   | 1          |         "	"206 - Putative satellites (high confidence)"	"206"
118	435	"PIF_Harbinger"	"                                                | nhits | proportion |                features
----------------------------------------------------------------------------------------------
All                                             | 149   | 0.34       |                        
 '--repeat                                      | 149   | 0.34       |                        
     '--mobile_element                          | 149   | 0.34       |                        
         '--Class_II                            | 149   | 0.34       |                        
             '--Subclass_1                      | 149   | 0.34       |                        
                 '--TIR                         | 149   | 0.34       |                        
                     '--PIF_Harbinger           | 149   | 0.34       | 149 (Harbinger-TPase), "	NA	"207"
119	431	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 431   | 1          |         
 '--organelle                                   | 431   | 1          |         
     |--plastid                                 | 428   | 0.99       |         
     '--mitochondria                            | 3     | 0.007      |         "	NA	"209"
120	429	"Tekay"	"                                                | nhits | proportion |                                   features
-----------------------------------------------------------------------------------------------------------------
All                                             | 124   | 0.29       |                                           
 '--repeat                                      | 124   | 0.29       |                                           
     '--mobile_element                          | 124   | 0.29       |                                           
         '--Class_I                             | 124   | 0.29       |                                           
             '--LTR                             | 124   | 0.29       |                                           
                 '--Ty3_gypsy                   | 124   | 0.29       |                                           
                     '--chromovirus             | 124   | 0.29       |                                           
                         |--Tcn1                | 1     | 0.0023     | 1 (Ty3-RT),                               
                         |--Tekay               | 122   | 0.28       | 63 (Ty3-GAG), 20 (Ty3-PROT), 39 (Ty3-RT), 
                         '--Reina               | 1     | 0.0023     | 1 (Ty3-PROT),                             "	NA	"210"
121	415	"Tork"	"                                                | nhits | proportion |                                                 features
-------------------------------------------------------------------------------------------------------------------------------
All                                             | 195   | 0.47       |                                                         
 |--organelle                                   | 1     | 0.0024     |                                                         
 |   '--mitochondria                            | 1     | 0.0024     |                                                         
 '--repeat                                      | 194   | 0.47       |                                                         
     '--mobile_element                          | 194   | 0.47       |                                                         
         '--Class_I                             | 194   | 0.47       |                                                         
             '--LTR                             | 194   | 0.47       |                                                         
                 '--Ty1_copia                   | 194   | 0.47       |                                                         
                     '--Tork                    | 194   | 0.47       | 39 (Ty1-GAG), 79 (Ty1-INT), 53 (Ty1-PROT), 23 (Ty1-RT), "	NA	"211"
122	398	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"212"
123	396	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 396   | 1          |         
 '--organelle                                   | 396   | 1          |         
     '--plastid                                 | 396   | 1          |         "	NA	"213"
124	395	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"214"
125	386	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 386   | 1          |         
 '--repeat                                      | 386   | 1          |         
     '--satellite                               | 386   | 1          |         "	"215 - Putative satellites (high confidence)"	"215"
126	382	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"216"
127	375	"PIF_Harbinger"	"                                                | nhits | proportion |                features
----------------------------------------------------------------------------------------------
All                                             | 120   | 0.32       |                        
 '--repeat                                      | 120   | 0.32       |                        
     '--mobile_element                          | 120   | 0.32       |                        
         '--Class_II                            | 120   | 0.32       |                        
             '--Subclass_1                      | 120   | 0.32       |                        
                 '--TIR                         | 120   | 0.32       |                        
                     '--PIF_Harbinger           | 120   | 0.32       | 120 (Harbinger-TPase), "	NA	"217"
128	355	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"218"
129	351	"LINE"	"                                                | nhits | proportion |       features
-------------------------------------------------------------------------------------
All                                             | 42    | 0.12       |               
 '--repeat                                      | 42    | 0.12       |               
     '--mobile_element                          | 42    | 0.12       |               
         '--Class_I                             | 42    | 0.12       |               
             '--LINE                            | 42    | 0.12       | 42 (LINE-RT), "	NA	"219"
130	348	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"220"
131	348	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"221"
132	327	"NA"	"                                                | nhits | proportion |         features
---------------------------------------------------------------------------------------
All                                             | 9     | 0.028      |                 
 '--repeat                                      | 9     | 0.028      |                 
     '--mobile_element                          | 9     | 0.028      |                 
         '--Class_II                            | 9     | 0.028      |                 
             '--Subclass_1                      | 9     | 0.028      |                 
                 '--TIR                         | 9     | 0.028      |                 
                     '--MuDR_Mutator            | 9     | 0.028      | 9 (MuDR-TPase), "	NA	"222"
133	284	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 284   | 1          |         
 '--repeat                                      | 284   | 1          |         
     '--satellite                               | 284   | 1          |         "	"223 - Putative satellites (high confidence)"	"223"
134	271	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"224"
135	264	"Tork"	"                                                | nhits | proportion |                   features
-------------------------------------------------------------------------------------------------
All                                             | 119   | 0.45       |                           
 |--organelle                                   | 1     | 0.0038     |                           
 |   '--mitochondria                            | 1     | 0.0038     |                           
 '--repeat                                      | 118   | 0.45       |                           
     |--rDNA                                    | 1     | 0.0038     |                           
     |   '--45S_rDNA                            | 1     | 0.0038     |                           
     |       '--18S_rDNA                        | 1     | 0.0038     |                           
     '--mobile_element                          | 117   | 0.44       |                           
         '--Class_I                             | 117   | 0.44       |                           
             '--LTR                             | 117   | 0.44       |                           
                 '--Ty1_copia                   | 117   | 0.44       |                           
                     |--Ivana                   | 1     | 0.0038     | 1 (Ty1-RH),               
                     '--Tork                    | 116   | 0.44       | 54 (Ty1-RH), 62 (Ty1-RT), "	NA	"225"
136	260	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"226"
137	259	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"227"
138	258	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"228"
139	253	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"229"
140	238	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"230"
141	234	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"231"
142	234	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"232"
143	225	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 225   | 1          |         
 '--repeat                                      | 225   | 1          |         
     '--satellite                               | 225   | 1          |         "	"233 - Putative satellites (low confidence)"	"233"
144	225	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"234"
145	225	"PIF_Harbinger"	"                                                | nhits | proportion |               features
---------------------------------------------------------------------------------------------
All                                             | 76    | 0.34       |                       
 '--repeat                                      | 76    | 0.34       |                       
     '--mobile_element                          | 76    | 0.34       |                       
         '--Class_II                            | 76    | 0.34       |                       
             '--Subclass_1                      | 76    | 0.34       |                       
                 '--TIR                         | 76    | 0.34       |                       
                     '--PIF_Harbinger           | 76    | 0.34       | 76 (Harbinger-TPase), "	NA	"235"
146	220	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"236"
147	218	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"237"
